planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,gender,year
Ang Mo Kio,6790,7660,8290,9320,10310,11170,12250,13070,13710,13000,14010,13800,12980,11050,6670,5140,3250,2300,174770,Total,2015
Ang Mo Kio,3480,3880,4200,4730,5130,5380,5800,6180,6610,6340,7000,6680,6040,5240,3070,2340,1340,770,84220,Male,2015
Ang Mo Kio,3310,3780,4090,4590,5180,5800,6450,6890,7100,6660,7010,7120,6940,5810,3600,2800,1910,1520,90550,Female,2015
Bedok,11690,13400,14750,16930,19450,19860,19270,20850,22520,21460,23430,23380,20590,16750,9310,7330,4760,4010,289750,Total,2015
Bedok,5930,6750,7460,8780,9830,9880,9200,9750,10860,10600,11560,11500,10010,8180,4430,3270,1920,1310,141220,Male,2015
Bedok,5760,6650,7290,8150,9630,9990,10080,11100,11660,10860,11870,11880,10570,8570,4880,4060,2840,2700,148530,Female,2015
Bishan,3430,4330,4710,5520,6860,6460,5720,6000,7070,6800,7540,7700,6360,4860,2730,2140,1370,1090,90700,Total,2015
Bishan,1630,2040,2220,2610,3280,3250,3030,3190,3750,3590,4070,3960,3230,2520,1460,1180,840,770,46590,Female,2015
Bishan,1800,2290,2490,2920,3590,3210,2690,2810,3320,3220,3470,3750,3130,2340,1270,960,530,320,44110,Male,2015
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Total,2015
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Bukit Batok,5510,6890,7970,9240,10070,10460,9760,9940,10980,11310,12190,11770,9370,5990,3060,2230,1450,1090,139270,Total,2015
Bukit Batok,2820,3450,4010,4690,5050,5220,4640,4710,5300,5590,6000,5920,4770,3010,1470,1060,580,370,68650,Male,2015
Bukit Batok,2680,3440,3950,4550,5020,5240,5120,5230,5680,5720,6180,5850,4610,2980,1600,1170,870,720,70610,Female,2015
Bukit Merah,3530,3720,3220,3440,3870,4810,5860,6760,6470,5540,5530,5780,5700,5440,3580,3110,2070,1980,80390,Female,2015
Bukit Merah,7210,7480,6640,6860,7700,9340,11070,12840,12730,11320,11320,11740,10920,10030,6480,5590,3540,3010,155840,Total,2015
Bukit Merah,3680,3760,3420,3430,3830,4530,5210,6080,6260,5790,5790,5960,5230,4590,2910,2480,1470,1040,75450,Male,2015
Choa Chu Kang,3630,4840,5700,7670,7810,6080,5530,5670,6430,7680,8360,6830,4660,2830,1400,980,550,340,86990,Male,2015
Choa Chu Kang,7170,9340,11380,14820,15230,11940,11540,11960,13710,15990,16190,12910,8830,5650,2990,2220,1430,1040,174330,Total,2015
Choa Chu Kang,3530,4500,5680,7150,7420,5860,6010,6290,7280,8300,7830,6070,4180,2810,1600,1240,880,700,87340,Female,2015
Bukit Panjang,7330,7630,8460,9420,10400,10980,10690,10010,11180,10540,11620,10680,7880,5190,2740,2000,1290,1010,139030,Total,2015
Bukit Panjang,3780,3850,4340,4800,5350,5370,5280,4820,5410,5240,5740,5530,4020,2630,1280,890,520,320,69160,Male,2015
Bukit Panjang,3550,3770,4120,4620,5050,5600,5410,5190,5770,5310,5880,5150,3860,2560,1460,1120,780,680,69870,Female,2015
Jurong East,3290,3880,4550,4970,5760,6570,6360,6070,6530,6240,6720,7020,6420,4760,2360,1690,1040,760,84980,Total,2015
Jurong East,1670,1970,2350,2560,2990,3300,3110,2900,3200,3170,3360,3450,3230,2390,1190,760,440,260,42270,Male,2015
Jurong East,1620,1910,2200,2410,2770,3270,3260,3180,3330,3080,3360,3570,3190,2380,1170,930,600,500,42710,Female,2015
Queenstown,4450,4510,4360,4750,5290,6150,7110,7650,8050,7610,7500,6730,6150,5900,3950,3700,2420,1780,98050,Total,2015
Queenstown,2310,2280,2200,2380,2550,2840,3360,3520,3980,3630,3780,3200,2850,2570,1630,1550,980,640,46230,Male,2015
Queenstown,2140,2230,2170,2370,2740,3310,3760,4130,4070,3970,3730,3530,3300,3330,2310,2150,1440,1140,51820,Female,2015
Jurong West,13600,15900,16700,18020,19070,19930,22540,23410,23070,21680,20670,19100,15870,10820,5250,3550,2080,1410,272660,Total,2015
Jurong West,6740,7780,8080,8830,9320,10100,11870,11750,11270,10500,9730,9350,7820,5210,2710,1870,1250,940,135110,Female,2015
Jurong West,6860,8120,8620,9190,9750,9830,10670,11660,11800,11180,10940,9760,8050,5610,2540,1680,830,480,137560,Male,2015
Bukit Timah,3140,4660,4810,4820,4980,4310,3770,4940,6630,6330,5820,5330,4550,3930,2380,1880,1210,1000,74470,Total,2015
Bukit Timah,1520,2020,2250,2270,2320,1970,1680,2170,3050,3050,2770,2550,2210,1930,1140,850,560,370,34660,Male,2015
Bukit Timah,1610,2640,2560,2550,2660,2340,2090,2770,3580,3290,3060,2780,2340,2010,1240,1030,660,630,39810,Female,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Total,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Changi,180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40,2530,Total,2015
Changi,100,120,110,80,70,50,70,120,150,130,80,60,60,50,30,10,10,10,1300,Male,2015
Changi,90,110,100,70,70,60,100,130,140,100,60,50,40,40,30,10,20,20,1230,Female,2015
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2015
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Total,2015
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Clementi,3910,4420,4480,4690,4850,5820,6630,7310,7600,6950,6960,6550,6630,6200,3350,2600,1480,1200,91630,Total,2015
