planning_area,year,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others,total_hdb,total
Ang Mo Kio,2015,12650,63750,46090,22620,11920,16410,1330,145110,174770
Bedok,2015,9640,62060,72370,48990,48690,45160,2840,193060,289750
Bishan,2015,1170,5430,31480,27050,14210,10770,580,65130,90700
Boon Lay,2015,0,0,0,0,0,0,0,0,30
Bukit Batok,2015,1290,28030,50180,28740,24570,5620,840,108240,139270
Bukit Merah,2015,25790,40210,46780,31780,9100,520,1670,144550,155840
Choa Chu Kang,2015,3840,5300,74970,71760,15500,2550,420,155870,174330
Bukit Panjang,2015,2250,9860,57590,50300,15610,3220,200,120000,139030
Jurong East,2015,2120,18500,28080,28950,6930,0,400,77650,84980
Queenstown,2015,9070,34190,24290,14320,11140,3740,1300,81870,98050
Jurong West,2015,7110,35750,106470,106320,12270,4400,350,255650,272660
Bukit Timah,2015,0,1080,2820,3650,33920,32040,950,7550,74470
Central Water Catchment,2015,0,0,0,0,0,0,0,0,10
Changi,2015,0,450,0,10,50,410,1620,460,2530
Changi Bay,2015,0,0,0,0,0,0,0,0,0
Tengah,2015,0,0,0,0,0,0,0,0,10
Clementi,2015,2740,28970,26530,12180,14030,5800,1390,70420,91630
Geylang,2015,10290,30910,32380,16600,17940,6600,2240,90190,116960
Hougang,2015,4260,26730,87490,55450,21630,22610,4160,173930,222310
Pioneer,2015,0,0,0,0,0,0,0,0,100
Punggol,2015,4660,6530,48970,45590,3480,280,250,105740,109750
Seletar,2015,0,0,0,0,0,250,20,0,270
Sembawang,2015,1760,930,29150,38170,2170,3770,580,70010,76530
Sengkang,2015,5430,7320,88840,91690,11340,1570,490,193280,206680
Serangoon,2015,1060,11140,35320,22890,13600,35530,1130,70420,120670
Simpang,2015,0,0,0,0,0,0,0,0,0
Southern Islands,2015,0,0,0,0,890,550,40,0,1480
Sungei Kadut,2015,0,0,0,0,0,660,190,0,850
Tampines,2015,4820,35290,103340,88400,23540,4630,1220,231850,261230
Tanglin,2015,0,40,210,270,14020,4160,300,520,19000
Toa Payoh,2015,11520,38300,31270,25010,8340,5870,1690,109040,124940
Tuas,2015,0,0,0,0,0,0,0,0,70
Western Islands,2015,0,0,0,0,0,0,0,0,0
Western Water Catchment,2015,0,0,0,0,0,0,900,0,900
Woodlands,2015,7080,19040,106880,105570,10070,620,1030,238570,250290
Yishun,2015,4130,39960,99030,43660,8970,5290,950,186770,201970
Downtown Core,2015,0,1190,1010,20,1050,0,450,2220,3720
Marina East,2015,0,0,0,0,0,0,0,0,0
Marina South,2015,0,0,0,0,0,0,0,0,0
Museum,2015,0,0,0,0,350,0,20,0,380
Newton,2015,0,0,0,0,6130,550,240,0,6920
Orchard,2015,0,0,0,0,830,0,90,0,920
Outram,2015,6480,5600,5350,2270,1820,0,570,19690,22080
Kallang,2015,12660,27750,25330,15590,16740,1500,1650,81330,101210
Lim Chu Kang,2015,0,0,0,0,0,0,0,0,90
Mandai,2015,0,0,0,0,1240,780,90,0,2120
Marine Parade,2015,3740,6910,5360,5690,17000,9490,550,21690,48730
North-Eastern Islands,2015,0,0,0,0,0,0,0,0,60
Novena,2015,2220,7890,6700,5090,17650,7320,1120,21890,47990
Pasir Ris,2015,1200,520,41280,65330,23420,7480,660,108330,139890
Paya Lebar,2015,0,0,0,0,0,0,0,0,40
River Valley,2015,0,0,0,0,8310,770,120,0,9190
Rochor,2015,820,4980,4770,800,2010,150,1060,11370,14590
Singapore River,2015,0,0,0,0,2560,0,170,0,2720
