planning_area,employed,unemployed,inactive,year,gender
Ang Mo Kio,54900,2800,18400,2015,Male
Bedok,82500,2800,29400,2015,Male
Bishan,26400,900,8700,2015,Male
Boon Lay,0,0,0,2015,Male
Bukit Batok,41200,2100,14400,2015,Male
Bukit Merah,43900,1800,17600,2015,Male
Choa Chu Kang,52700,1600,17100,2015,Male
Bukit Panjang,45300,2000,12400,2015,Male
Jurong East,26300,1100,7900,2015,Male
Queenstown,26700,900,11300,2015,Male
Jurong West,89200,3300,23800,2015,Male
Bukit Timah,19900,700,7100,2015,Male
Central Water Catchment,0,0,0,2015,Male
Changi,0,0,0,2015,Male
Changi Bay,0,0,0,2015,Male
Tengah,0,0,0,2015,Male
Clementi,24800,700,9200,2015,Male
Geylang,33400,1500,10400,2015,Male
Hougang,63700,2500,22700,2015,Male
Pioneer,0,0,0,2015,Male
Punggol,33000,900,6200,2015,Male
Seletar,0,0,0,2015,Male
Sembawang,26000,800,5600,2015,Male
Sengkang,67600,2200,16500,2015,Male
Serangoon,35700,1500,14200,2015,Male
Simpang,0,0,0,2015,Male
Southern Islands,0,0,0,2015,Male
Sungei Kadut,0,0,0,2015,Male
Tampines,86200,3000,24700,2015,Male
Tanglin,5000,0,1500,2015,Male
Toa Payoh,35800,1600,14000,2015,Male
Tuas,0,0,0,2015,Male
Western Islands,0,0,0,2015,Male
Western Water Catchment,0,0,0,2015,Male
Woodlands,74600,2800,21600,2015,Male
Yishun,63600,2200,18200,2015,Male
Downtown Core,0,0,0,2015,Male
Marina East,0,0,0,2015,Male
Marina South,0,0,0,2015,Male
Museum,0,0,0,2015,Male
Newton,0,0,0,2015,Male
Orchard,0,0,0,2015,Male
Outram,6100,100,2300,2015,Male
Kallang,29600,1500,9600,2015,Male
Lim Chu Kang,0,0,0,2015,Male
Mandai,0,0,0,2015,Male
Marine Parade,10900,500,5200,2015,Male
North-Eastern Islands,0,0,0,2015,Male
Novena,13500,500,4400,2015,Male
Pasir Ris,43500,1600,13600,2015,Male
Paya Lebar,0,0,0,2015,Male
River Valley,0,0,0,2015,Male
Rochor,0,0,0,2015,Male
Singapore River,0,0,0,2015,Male
Straits View,0,0,0,2015,Male
Ang Mo Kio,46300,1800,33000,2015,Female
Bedok,67800,3200,50300,2015,Female
Bishan,23100,900,16200,2015,Female
Boon Lay,0,0,0,2015,Female
Bukit Batok,34500,2000,26000,2015,Female
Bukit Merah,38400,1500,29300,2015,Female
Choa Chu Kang,44500,2200,31100,2015,Female
Bukit Panjang,34800,1700,23500,2015,Female
Jurong East,19800,900,14700,2015,Female
Queenstown,22400,1300,19100,2015,Female
Jurong West,69400,3100,46100,2015,Female
Bukit Timah,16900,400,14000,2015,Female
Central Water Catchment,0,0,0,2015,Female
Changi,0,0,0,2015,Female
Changi Bay,0,0,0,2015,Female
Tengah,0,0,0,2015,Female
Clementi,21200,600,16100,2015,Female
Geylang,28000,800,18300,2015,Female
Hougang,57100,1900,36700,2015,Female
Pioneer,0,0,0,2015,Female
Punggol,27500,900,14500,2015,Female
Seletar,0,0,0,2015,Female
Sembawang,21300,400,10900,2015,Female
Sengkang,56700,2200,32700,2015,Female
Serangoon,32600,1000,24400,2015,Female
Simpang,0,0,0,2015,Female
Southern Islands,0,0,0,2015,Female
Sungei Kadut,0,0,0,2015,Female
Tampines,66600,3700,47500,2015,Female
Tanglin,4000,0,3800,2015,Female
Toa Payoh,33100,1300,22100,2015,Female
Tuas,0,0,0,2015,Female
Western Islands,0,0,0,2015,Female
