planning_area,total,below_sgd_1000,sgd_10000_to_10999,sgd_11000_to_11999,sgd_12000_over,sgd_1000_to_1499,sgd_1500_to_1999,sgd_2000_to_2499,sgd_2500_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_over,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,sgd_1000_to_1999,sgd_2000_to_2999,sgd_12000_14999,sgd_15000_over,year,Result
Ang Mo Kio,101200,9700,2600,1700,8600,12100,7900,7400,6800,11500,9800,7900,,6000,4000,,3100,2200,0,0,0,0,2015,
Bedok,150300,12200,4500,2700,19400,13600,12100,9700,9600,17200,13400,12200,,9200,5400,,5100,4000,0,0,0,0,2015,
Bishan,49500,3900,1800,1600,7600,3700,2200,2900,2400,4600,4700,3800,,2700,2800,,3100,1800,0,0,0,0,2015,
,,,,,,,,,,,,,,,,,,,,,,,,No Data Available!
Bukit Batok,75600,6100,2500,1500,7400,6500,5200,5800,4900,8600,7600,6700,,4400,3500,,2600,2400,0,0,0,0,2015,
Bukit Merah,82200,8500,2200,1500,8000,9200,6900,6600,4400,8300,7000,5500,,4700,4200,,3000,2100,0,0,0,0,2015,
Choa Chu Kang,97200,7300,2200,1300,6500,7800,6300,7500,6500,14500,10600,8000,,5900,5400,,5000,2600,0,0,0,0,2015,
Bukit Panjang,80100,5100,2000,1000,6100,6500,5200,6300,6500,10500,8300,7200,,5500,3800,,3400,2600,0,0,0,0,2015,
Jurong East,46100,4300,1200,500,3400,4100,3300,3600,3800,5200,5400,3600,,2800,2200,,1700,1000,0,0,0,0,2015,
Queenstown,49200,4100,1500,1100,5800,4200,3500,3200,3100,4800,4800,3800,,3200,2300,,2000,1600,0,0,0,0,2015,
Jurong West,158700,13400,3000,1800,7700,13800,11600,12300,11100,22800,19300,13600,,8700,9600,,5800,4000,0,0,0,0,2015,
Bukit Timah,36800,2100,2200,1100,13700,1400,1200,1200,700,2100,2000,2900,,1300,1900,,1600,1500,0,0,0,0,2015,
,,,,,,,,,,,,,,,,,,,,,,,,No Data Available!
,,,,,,,,,,,,,,,,,,,,,,,,No Data Available!
,,,,,,,,,,,,,,,,,,,,,,,,No Data Available!
,,,,,,,,,,,,,,,,,,,,,,,,No Data Available!
Clementi,45900,3800,1700,1000,6100,3600,2400,2300,2600,5000,4300,3600,,3100,3200,,1700,1800,0,0,0,0,2015,
Geylang,61400,6500,1500,1000,4900,5900,4400,5300,3500,7800,5700,4400,,3500,2400,,2400,2000,0,0,0,0,2015,
Hougang,120800,10100,3200,1900,9200,10800,8200,10400,7700,17000,11800,11100,,7400,5000,,4100,2800,0,0,0,0,2015,
,,,,,,,,,,,,,,,,,,,,,,,,No Data Available!
Punggol,60400,3600,1700,1500,4600,3200,2800,3000,3500,7100,6200,6100,,5500,4900,,3800,2800,0,0,0,0,2015,
,,,,,,,,,,,,,,,,,,,,,,,,No Data Available!
