planning_area,no_literate,l1_chi,l1_eng,l1_mal,l1_tam,l1_non_off,l2_eng_chi,l2_eng_mal,l2_eng_tam,l2_other_two,l3_eng_chi_mal,l3_eng_mal_tam,l3_other_three,year,l2_eng_non_off
Ang Mo Kio,7600,30900,18700,1900,700,300,70200,12800,5500,500,,,,2015,2600
Bedok,8900,34000,31500,4900,300,300,97000,37400,5500,300,,,,2015,5100
Bishan,1600,8700,12600,0,0,0,41500,3700,4100,300,,,,2015,800
Boon Lay,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Bukit Batok,3100,16400,10900,1300,300,100,59200,15000,4300,600,,,,2015,2200
Bukit Merah,7500,23900,13100,1500,700,100,61900,8900,4800,300,,,,2015,3900
Choa Chu Kang,3000,19400,10400,1600,500,100,70800,23400,6200,600,,,,2015,4200
Bukit Panjang,3600,16900,7800,1600,100,200,61000,19100,2800,600,,,,2015,1600
Jurong East,2500,13500,7600,1100,400,100,25700,11000,4900,200,,,,2015,700
Queenstown,3900,12200,10300,800,400,100,37300,7200,3000,200,,,,2015,2700
Jurong West,7900,41200,18400,5100,1300,200,95900,33100,12400,1200,,,,2015,4200
Bukit Timah,300,3800,11500,0,0,0,33800,2500,600,0,,,,2015,1700
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Changi,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Changi Bay,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Tengah,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Clementi,3100,11300,8800,1100,100,100,33800,7500,2000,200,,,,2015,1600
Geylang,4200,15100,6600,1600,300,200,43200,12300,1800,500,,,,2015,2000
Hougang,5500,30900,18900,900,500,0,98400,14200,5100,500,,,,2015,2000
Pioneer,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Punggol,2100,8600,7300,500,100,200,46900,8200,2200,300,,,,2015,2400
Seletar,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Sembawang,1500,8300,3700,300,0,100,32800,8700,3000,200,,,,2015,2100
Sengkang,4500,22300,11800,1200,200,100,98300,18400,7700,1100,,,,2015,3700
Serangoon,3100,12600,13400,600,200,100,59400,8300,4800,0,,,,2015,1900
Simpang,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Southern Islands,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Tampines,5900,25600,18200,3600,200,300,103100,52000,5700,500,,,,2015,5300
Tanglin,100,600,4200,0,0,100,5700,800,0,0,,,,2015,1100
Toa Payoh,4500,18600,12500,1000,400,100,50600,7600,4300,300,,,,2015,1800
Tuas,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Western Islands,0,0,0,0,0,0,0,0,0,0,,,,2015,0
