planning_area,english,mandarin,chinese_dialects,malay,tamil,other_indian_languages,others,eng_mand,eng_chn_dlt,eng_mly,eng_oth_ind_lang,eng_oth_lang,mand_eng,mand_chn_dlt,mand_oth_lang,chn_dlt_eng,chn_dlt_mand,chn_dlt_oth_lang,mly_eng,mly_oth_lang,tml_eng,tml_oth_lang,oth_ind_lang_eng,oth_ind_lang_oth_lang,oth_lang_eng,oth_lang_oth_non_eng_lang,eng_tml,year
Ang Mo Kio,58000,56500,28400,12800,6800,600,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bedok,107600,70400,30400,34000,5100,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bishan,43800,23100,10300,1700,2300,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bukit Batok,44600,49900,13700,12600,4900,1200,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bukit Merah,46800,37100,32400,8100,4600,1300,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Choa Chu Kang,54700,62800,16900,23100,4700,2800,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bukit Panjang,42800,54700,14900,18400,2300,500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Jurong East,19200,28100,9400,11600,5300,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Queenstown,31500,22300,14700,6300,3400,900,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Jurong West,61700,114000,29200,35100,15800,3200,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bukit Timah,47300,11300,5200,300,200,200,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Clementi,29200,23600,11600,6600,1900,300,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Geylang,30400,33000,14000,11800,2400,1500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
