planning_area,single,married,widowed,divorced,year,gender
Ang Mo Kio,27200,44100,2100,2700,2015,Male
Ang Mo Kio,24500,43900,8400,4400,2015,Female
Bedok,40200,68200,2700,3500,2015,Male
Bedok,35500,67400,12700,5600,2015,Female
Bishan,12300,22400,900,600,2015,Male
Bishan,12900,21900,3500,1900,2015,Female
Boon Lay,0,0,0,0,2015,Male
Boon Lay,0,0,0,0,2015,Female
Bukit Batok,20800,34400,1100,1400,2015,Male
Bukit Batok,20400,34100,5200,2800,2015,Female
Bukit Merah,22600,36700,1500,2500,2015,Male
Bukit Merah,20400,35100,9200,4500,2015,Female
Choa Chu Kang,24400,44800,1000,1200,2015,Male
Choa Chu Kang,25100,44600,5100,2900,2015,Female
Bukit Panjang,19700,38300,600,1000,2015,Male
Bukit Panjang,17100,37200,3800,1900,2015,Female
Jurong East,12300,21500,300,1200,2015,Male
Jurong East,10100,20200,3700,1400,2015,Female
Queenstown,13900,22700,1000,1300,2015,Male
Queenstown,13500,20800,5700,2800,2015,Female
Jurong West,38100,73600,1900,2700,2015,Male
Jurong West,33400,72200,8400,4700,2015,Female
Bukit Timah,7200,19900,300,400,2015,Male
Bukit Timah,9500,19600,1500,700,2015,Female
Central Water Catchment,0,0,0,0,2015,Male
Central Water Catchment,0,0,0,0,2015,Female
Changi,0,0,0,0,2015,Male
Changi,0,0,0,0,2015,Female
Changi Bay,0,0,0,0,2015,Male
Changi Bay,0,0,0,0,2015,Female
Tengah,0,0,0,0,2015,Male
Tengah,0,0,0,0,2015,Female
Clementi,10400,22000,1100,1200,2015,Male
Clementi,11100,21100,4300,1500,2015,Female
Geylang,15900,26300,800,2200,2015,Male
Geylang,14000,24800,5500,3000,2015,Female
Hougang,32100,53500,1500,1900,2015,Male
Hougang,30600,52900,7800,4400,2015,Female
Pioneer,0,0,0,0,2015,Male
Pioneer,0,0,0,0,2015,Female
Punggol,7700,30500,600,1200,2015,Male
Punggol,7500,30700,2300,2300,2015,Female
Seletar,0,0,0,0,2015,Male
Seletar,0,0,0,0,2015,Female
Sembawang,10100,21200,300,700,2015,Male
Sembawang,8400,20700,2000,1400,2015,Female
Sengkang,22400,61700,1100,1200,2015,Male
Sengkang,21900,60500,4800,4400,2015,Female
Serangoon,19200,30400,800,1000,2015,Male
Serangoon,19600,30300,5600,2500,2015,Female
Simpang,0,0,0,0,2015,Male
Simpang,0,0,0,0,2015,Female
Southern Islands,0,0,0,0,2015,Male
Southern Islands,0,0,0,0,2015,Female
Sungei Kadut,0,0,0,0,2015,Male
Sungei Kadut,0,0,0,0,2015,Female
Tampines,41500,67600,2000,2800,2015,Male
Tampines,37100,65400,9900,5400,2015,Female
Tanglin,1400,4800,100,200,2015,Male
Tanglin,2200,4800,500,300,2015,Female
Toa Payoh,18300,29800,1200,2000,2015,Male
Toa Payoh,18800,28800,5800,3200,2015,Female
Tuas,0,0,0,0,2015,Male
Tuas,0,0,0,0,2015,Female
Western Islands,0,0,0,0,2015,Male
Western Islands,0,0,0,0,2015,Female
Western Water Catchment,0,0,0,0,2015,Male
Western Water Catchment,0,0,0,0,2015,Female
Woodlands,33300,62100,1300,2200,2015,Male
Woodlands,30400,60500,6400,5500,2015,Female
Yishun,27800,51800,1700,2800,2015,Male
Yishun,25000,51100,6700,5600,2015,Female
Downtown Core,0,0,0,0,2015,Male
Downtown Core,0,0,0,0,2015,Female
Marina East,0,0,0,0,2015,Male
Marina East,0,0,0,0,2015,Female
Marina South,0,0,0,0,2015,Male
Marina South,0,0,0,0,2015,Female
Museum,0,0,0,0,2015,Male
Museum,0,0,0,0,2015,Female
Newton,0,0,0,0,2015,Male
Newton,0,0,0,0,2015,Female
Orchard,0,0,0,0,2015,Male
Orchard,0,0,0,0,2015,Female
