id,pln_area_n,area
2,ANG MO KIO,ANG%20MO%20KIO
3,BEDOK,BEDOK
4,BISHAN,BISHAN
5,BOON LAY,BOON%20LAY
6,BUKIT BATOK,BUKIT%20BATOK
7,BUKIT MERAH,BUKIT%20MERAH
15,CHOA CHU KANG,CHOA%20CHU%20KANG
8,BUKIT PANJANG,BUKIT%20PANJANG
9,JURONG EAST,JURONG%20EAST
21,QUEENSTOWN,QUEENSTOWN
10,JURONG WEST,JURONG%20WEST
11,BUKIT TIMAH,BUKIT%20TIMAH
12,CENTRAL WATER CATCHMENT,CENTRAL%20WATER%20CATCHMENT
13,CHANGI,CHANGI
14,CHANGI BAY,CHANGI%20BAY
31,TENGAH,TENGAH
16,CLEMENTI,CLEMENTI
17,GEYLANG,GEYLANG
18,HOUGANG,HOUGANG
19,PIONEER,PIONEER
20,PUNGGOL,PUNGGOL
22,SELETAR,SELETAR
23,SEMBAWANG,SEMBAWANG
24,SENGKANG,SENGKANG
25,SERANGOON,SERANGOON
26,SIMPANG,SIMPANG
27,SOUTHERN ISLANDS,SOUTHERN%20ISLANDS
28,SUNGEI KADUT,SUNGEI%20KADUT
29,TAMPINES,TAMPINES
30,TANGLIN,TANGLIN
32,TOA PAYOH,TOA%20PAYOH
33,TUAS,TUAS
34,WESTERN ISLANDS,WESTERN%20ISLANDS
35,WESTERN WATER CATCHMENT,WESTERN%20WATER%20CATCHMENT
36,WOODLANDS,WOODLANDS
37,YISHUN,YISHUN
38,DOWNTOWN CORE,DOWNTOWN%20CORE
39,MARINA EAST,MARINA%20EAST
40,MARINA SOUTH,MARINA%20SOUTH
41,MUSEUM,MUSEUM
42,NEWTON,NEWTON
43,ORCHARD,ORCHARD
44,OUTRAM,OUTRAM
45,KALLANG,KALLANG
46,LIM CHU KANG,LIM%20CHU%20KANG
47,MANDAI,MANDAI
48,MARINE PARADE,MARINE%20PARADE
49,NORTH-EASTERN ISLANDS,NORTH-EASTERN%20ISLANDS
50,NOVENA,NOVENA
51,PASIR RIS,PASIR%20RIS
52,PAYA LEBAR,PAYA%20LEBAR
53,RIVER VALLEY,RIVER%20VALLEY
54,ROCHOR,ROCHOR
55,SINGAPORE RIVER,SINGAPORE%20RIVER
56,STRAITS VIEW,STRAITS%20VIEW
