planning_area,no_religion,buddhism,taoism,islam,hinduism,sikhism,catholic_christian,other_christians,other_religions,year
Ang Mo Kio,26900,56200,22600,13900,6000,200,11700,19300,300,2015
Bedok,37300,70700,21700,42700,9700,1100,20000,31900,900,2015
Bishan,16900,21200,7800,2800,4300,100,9500,13600,0,2015
Boon Lay,0,0,0,0,0,0,0,0,0,2015
Bukit Batok,20700,40600,12300,15200,6700,200,7800,16200,300,2015
Bukit Merah,26300,50500,13200,11300,5100,900,8300,16300,500,2015
Choa Chu Kang,28100,47700,16600,26100,8600,0,8900,13100,200,2015
Bukit Panjang,21000,41700,16000,19500,3700,200,4600,12700,100,2015
Jurong East,13200,17500,11500,13800,4700,500,3800,5700,0,2015
Queenstown,16500,25600,6800,8200,3800,100,6300,14100,300,2015
Jurong West,40400,87800,26200,40800,15300,700,7400,15900,500,2015
Bukit Timah,15000,10300,3400,700,1600,0,8200,19800,100,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,2015
Changi,0,0,0,0,0,0,0,0,0,2015
Changi Bay,0,0,0,0,0,0,0,0,0,2015
Tengah,0,0,0,0,0,0,0,0,0,2015
Clementi,16300,23500,5300,8200,2100,100,4100,12900,200,2015
Geylang,18100,32200,8900,14400,3300,500,4000,10800,100,2015
Hougang,35000,71500,19800,16000,6900,100,16700,18500,100,2015
Pioneer,0,0,0,0,0,0,0,0,0,2015
Punggol,17800,28600,7800,8500,4100,600,5500,9600,400,2015
Seletar,0,0,0,0,0,0,0,0,0,2015
Sembawang,13000,22100,5700,8800,2500,400,3200,9100,200,2015
Sengkang,34300,70800,16800,19200,9900,200,11600,14600,400,2015
Serangoon,21700,31500,12100,7400,6000,400,11400,18600,400,2015
Simpang,0,0,0,0,0,0,0,0,0,2015
Southern Islands,0,0,0,0,0,0,0,0,0,2015
Sungei Kadut,0,0,0,0,0,0,0,0,0,2015
Tampines,37000,71100,19700,54500,8600,1300,13600,25700,300,2015
Tanglin,3200,2800,500,300,1500,0,2300,3700,100,2015
Toa Payoh,21700,37200,10500,8200,5400,100,9900,14700,200,2015
Tuas,0,0,0,0,0,0,0,0,0,2015
Western Islands,0,0,0,0,0,0,0,0,0,2015
Western Water Catchment,0,0,0,0,0,0,0,0,0,2015
Woodlands,28800,68600,19000,46100,12800,700,7000,18500,300,2015
Yishun,27000,60700,19800,30900,12400,100,8100,12800,500,2015
Downtown Core,0,0,0,0,0,0,0,0,0,2015
Marina East,0,0,0,0,0,0,0,0,0,2015
Marina South,0,0,0,0,0,0,0,0,0,2015
Museum,0,0,0,0,0,0,0,0,0,2015
Newton,0,0,0,0,0,0,0,0,0,2015
Orchard,0,0,0,0,0,0,0,0,0,2015
Outram,4100,5900,1700,1900,600,200,800,2100,0,2015
Kallang,18000,28900,8100,7600,5500,1100,5500,9700,400,2015
