planning_area,person1,person2,person3,person4,person5,person6,person7,person_more_8,year
Ang Mo Kio,10400,15000,13300,12000,6700,,,,2015
Bedok,12600,20300,18800,19200,12600,,,,2015
Bishan,2700,5400,6300,6300,4900,,,,2015
Boon Lay,0,0,0,0,0,,,,2015
Bukit Batok,5200,8600,10300,10600,5900,,,,2015
Bukit Merah,11100,15800,9600,10100,5400,,,,2015
Choa Chu Kang,2800,7500,10800,13800,9000,,,,2015
Bukit Panjang,3000,7200,9100,10800,6800,,,,2015
Jurong East,3300,4900,5500,6200,3200,,,,2015
Queenstown,7500,9600,7200,5900,3300,,,,2015
Jurong West,6900,14000,16400,23000,12000,,,,2015
Bukit Timah,2400,3600,4900,4700,4600,,,,2015
Central Water Catchment,0,0,0,0,0,,,,2015
Changi,0,0,0,0,0,,,,2015
Changi Bay,0,0,0,0,0,,,,2015
Tengah,0,0,0,0,0,,,,2015
Clementi,5200,7900,6400,5600,3100,,,,2015
Geylang,6500,8700,8300,7500,3400,,,,2015
Hougang,5800,12100,14600,16000,9400,,,,2015
Pioneer,0,0,0,0,0,,,,2015
Punggol,1800,7400,8900,9000,3700,,,,2015
Seletar,0,0,0,0,0,,,,2015
Sembawang,1400,4300,5100,6300,3200,,,,2015
Sengkang,3000,13400,14500,17400,10100,,,,2015
Serangoon,4000,8100,7700,8900,5600,,,,2015
Simpang,0,0,0,0,0,,,,2015
Southern Islands,0,0,0,0,0,,,,2015
Sungei Kadut,0,0,0,0,0,,,,2015
Tampines,8100,15000,16800,20600,10300,,,,2015
Tanglin,1200,1300,1300,1400,1100,,,,2015
Toa Payoh,7500,11600,9200,7400,4400,,,,2015
Tuas,0,0,0,0,0,,,,2015
Western Islands,0,0,0,0,0,,,,2015
Western Water Catchment,0,0,0,0,0,,,,2015
Woodlands,5900,13300,12900,18000,11200,,,,2015
Yishun,7100,13900,13600,14300,8300,,,,2015
Downtown Core,0,0,0,0,0,,,,2015
Marina East,0,0,0,0,0,,,,2015
Marina South,0,0,0,0,0,,,,2015
Museum,0,0,0,0,0,,,,2015
Newton,0,0,0,0,0,,,,2015
Orchard,0,0,0,0,0,,,,2015
Outram,2100,2600,1500,1400,500,,,,2015
Kallang,8100,9200,7000,6200,3600,,,,2015
Lim Chu Kang,0,0,0,0,0,,,,2015
Mandai,0,0,0,0,0,,,,2015
Marine Parade,2200,4300,2600,3100,1900,,,,2015
North-Eastern Islands,0,0,0,0,0,,,,2015
Novena,2100,3700,3700,3100,1600,,,,2015
Pasir Ris,2900,6800,7900,10900,6400,,,,2015
Paya Lebar,0,0,0,0,0,,,,2015
River Valley,0,0,0,0,0,,,,2015
Rochor,0,0,0,0,0,,,,2015
Singapore River,0,0,0,0,0,,,,2015
Straits View,0,0,0,0,0,,,,2015
