planning_area,owner,tenant,others,year
Ang Mo Kio,54700,7700,100,2015
Bedok,82900,8700,600,2015
Bishan,25300,2300,200,2015
Boon Lay,0,0,0,2015
Bukit Batok,41300,2500,300,2015
Bukit Merah,44300,10700,200,2015
Choa Chu Kang,47500,1500,300,2015
Bukit Panjang,39300,1900,100,2015
Jurong East,24300,1200,0,2015
Queenstown,31700,3600,300,2015
Jurong West,76200,5100,300,2015
Bukit Timah,20900,2600,500,2015
Central Water Catchment,0,0,0,2015
Changi,0,0,0,2015
Changi Bay,0,0,0,2015
Tengah,0,0,0,2015
Clementi,26900,2900,200,2015
Geylang,31800,5300,400,2015
Hougang,60500,3400,400,2015
Pioneer,0,0,0,2015
Punggol,31900,1300,0,2015
Seletar,0,0,0,2015
Sembawang,22100,900,100,2015
Sengkang,62200,2300,100,2015
Serangoon,36300,2300,400,2015
Simpang,0,0,0,2015
Southern Islands,0,0,0,2015
Sungei Kadut,0,0,0,2015
Tampines,76100,3500,300,2015
Tanglin,4900,1900,200,2015
Toa Payoh,36800,6100,200,2015
Tuas,0,0,0,2015
Western Islands,0,0,0,2015
Western Water Catchment,0,0,0,2015
Woodlands,65900,4400,100,2015
Yishun,59500,3100,300,2015
Downtown Core,0,0,0,2015
Marina East,0,0,0,2015
Marina South,0,0,0,2015
Museum,0,0,0,2015
Newton,0,0,0,2015
Orchard,0,0,0,2015
Outram,5800,2600,0,2015
Kallang,29400,6900,100,2015
Lim Chu Kang,0,0,0,2015
Mandai,0,0,0,2015
Marine Parade,12400,2600,200,2015
North-Eastern Islands,0,0,0,2015
Novena,13000,2500,200,2015
Pasir Ris,38400,2000,100,2015
Paya Lebar,0,0,0,2015
River Valley,0,0,0,2015
Rochor,0,0,0,2015
Singapore River,0,0,0,2015
Straits View,0,0,0,2015
Ang Mo Kio,51897,7640,683,2020
Bedok,85033,11127,1391,2020
Bishan,25654,3410,381,2020
Boon Lay,0,0,0,2020
Bukit Batok,49487,4349,461,2020
Bukit Merah,46060,13134,506,2020
Choa Chu Kang,53919,3700,406,2020
Bukit Panjang,40434,2743,402,2020
Jurong East,24505,2442,266,2020
Queenstown,31270,5269,514,2020
Jurong West,76331,7029,519,2020
Bukit Timah,20122,3879,611,2020
Central Water Catchment,0,0,0,2020
Changi,0,0,0,2020
Changi Bay,0,0,0,2020
Tengah,0,0,0,2020
Clementi,30042,3231,336,2020
Geylang,33761,7647,652,2020
Hougang,68603,5750,757,2020
Pioneer,0,0,0,2020
Punggol,51926,3902,338,2020
Seletar,0,0,0,2020
Sembawang,29943,2745,362,2020
Sengkang,74600,4325,451,2020
Serangoon,34232,3394,460,2020
Simpang,0,0,0,2020
Southern Islands,0,0,0,2020
Sungei Kadut,0,0,0,2020
Tampines,77953,5183,546,2020
Tanglin,5432,2248,258,2020
Toa Payoh,38826,7687,366,2020
Tuas,0,0,0,2020
Western Islands,0,0,0,2020
Western Water Catchment,0,0,0,2020
Woodlands,71040,7178,621,2020
Yishun,68814,5990,599,2020
Downtown Core,855,620,72,2020
Marina East,0,0,0,2020
Marina South,0,0,0,2020
Museum,0,0,0,2020
Newton,0,0,0,2020
Orchard,0,0,0,2020
Outram,4718,3250,84,2020
Kallang,30671,9625,537,2020
Lim Chu Kang,0,0,0,2020
Mandai,0,0,0,2020
Marine Parade,13086,3615,368,2020
North-Eastern Islands,0,0,0,2020
Novena,14811,3113,356,2020
Pasir Ris,41101,3254,443,2020
Paya Lebar,0,0,0,2020
River Valley,2454,1303,220,2020
Rochor,0,0,0,2020
Singapore River,0,0,0,2020
Straits View,0,0,0,2020
