income,income_val
below_sgd_1000,500
no_working_person,0
sgd_10000_over,15000
sgd_10000_to_10999,10500
sgd_11000_to_11999,11500
sgd_1000_to_1999,1500
sgd_12000_to_12999,12500
sgd_13000_to_13999,13500
sgd_14000_to_14999,14500
sgd_15000_to_17499,17500
sgd_17500_to_19999,19500
sgd_20000_over,25000
sgd_2000_to_2999,2500
sgd_3000_to_3999,3500
sgd_4000_to_4999,4500
sgd_5000_to_5999,5500
sgd_6000_to_6999,6500
sgd_7000_to_7999,7500
sgd_8000_over,8500
sgd_8000_to_8999,8500
sgd_9000_to_9999,9500
